,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,lgcyViewCmplt
22,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,1
23,['legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
24,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,1
25,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdComplete', 'simpCustColdView', 'simpCustColdIntent', 'simpCustColdComplete', 'simpMembColdView', 'simpMembColdIntent', 'simpMembColdComplete', 'simpDistInvtLanding', 'simpDistInvtAccept', 'simpDistInvtView', 'simpDistInvtIntent', 'simpDistInvtComplete', 'simpCustInvtLanding', 'simpCustInvtAccept', 'simpCustInvtView', 'simpCustInvtIntent', 'simpCustInvtComplete', 'simpMembInvtLanding', 'simpMembInvtAccept'],1
26,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'simpDistColdView', 'simpDistColdIntent', 'simpDistColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1
27,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
28,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,1
29,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,,,,,1
30,['legacyDistColdView', 'legacyDistColdIntent', 'legacyDistColdComplete', 'legacyCustColdView', 'legacyCustColdComplete', 'legacyMembColdView', 'legacyMembColdIntent', 'legacyMembColdComplete', 'legacyDistInvtView', 'legacyDistInvtIntent', 'legacyDistInvtComplete', 'legacyCustInvtView', 'legacyCustInvtComplete', 'legacyMembInvtView', 'legacyMembInvtIntent', 'legacyMembInvtComplete', 'poCustColdView', 'poCustColdIntent', 'poCustColdComplete'],,,,,,,,,,,,,,,,,,,,,1
31,['poCustColdView', 'poCustColdComplete', 'progDistColdView', 'progDistColdIntent', 'progDistColdComplete', 'progCustColdView', 'progCustColdIntent', 'progCustColdComplete', 'progMembInvtView', 'progMembInvtComplete', 'progCustInvtView', 'progCustInvtComplete'],,,,,,,,,,,,,,,,,,,,,,,,,,,,0
