Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value
poCustColdComplete,FR,6556,6181,0,0.00
poCustColdIntent,US,6533,6183,0,0.00
legacyDistInvtIntent,ZA,6477,4979,0,0.00
legacyMembColdSubmit,JP,6445,4373,0,0.00
legacyMembColdView,MX,6342,3535,0,0.00
legacyCustColdView,GB,6311,3920,0,0.00
legacyDistColdIntent,CL,6303,5045,0,0.00
legacyMembInvtSubmit,US,6297,3665,0,0.00
legacyDistColdSubmit,CL,6268,4132,0,0.00
legacyDistInvtView,FR,6234,3590,0,0.00
legacyCustInvtView,US,6095,4072,0,0.00
poCustColdComplete,ES,5981,5795,0,0.00
legacyDistColdView,TH,5960,2599,0,0.00
poCustColdView,ZA,5938,4656,0,0.00
simpDistColdComplete,PH,5852,4432,0,0.00
legacyDistInvtView,DE,5827,2938,0,0.00
simpMembInvtLanding,MX,5810,3952,0,0.00
simpDistColdView,MX,5776,3996,0,0.00
legacyDistColdVerify,ZA,5571,4973,0,0.00
legacyCustColdView,CL,5450,3328,0,0.00
poCustColdView,PL,5444,4271,0,0.00
legacyMembColdSubmit,CA,5418,2676,0,0.00
legacyDistColdIntent,MX,5380,4029,0,0.00
legacyMembInvtView,PL,5362,3027,0,0.00
simpDistInvtLanding,MX,5337,3411,0,0.00
legacyDistColdSubmit,MX,5326,3227,0,0.00
legacyMembColdComplete,JP,5182,5123,0,0.00
legacyMembInvtIntent,US,5147,4170,0,0.00
legacyDistInvtView,RO,5143,1938,0,0.00
legacyDistColdIntent,GB,5034,4118,0,0.00
poCustColdComplete,DE,5003,4789,0,0.00
legacyDistColdComplete,ZA,4996,4824,0,0.00
legacyDistColdSubmit,PH,4960,2824,0,0.00
legacyDistColdSubmit,CO,4861,3030,0,0.00
legacyDistColdView,RO,4843,1939,0,0.00
legacyMembColdIntent,CA,4743,2448,0,0.00
legacyDistColdVerify,CL,4719,3747,0,0.00
legacyDistColdSubmit,GB,4675,3038,0,0.00
legacyDistColdView,CA,4632,2542,0,0.00
legacyDistInvtSubmit,GB,4617,2280,0,0.00
legacyDistColdView,AU,4593,2341,0,0.00
legacyDistColdView,FR,4537,2760,0,0.00
legacyDistColdView,DE,4529,2696,0,0.00
legacyMembColdSubmit,US,4513,2995,0,0.00
simpDistColdFormStart,MX,4454,3540,0,0.00
poCustColdView,MX,4407,3527,0,0.00
legacyDistColdIntent,PH,4358,3374,0,0.00
legacyDistColdIntent,CO,4332,3320,0,0.00
legacyDistColdView,PL,4329,2544,0,0.00
legacyMembColdView,AR,4299,2758,0,0.00
legacyMembColdIntent,US,4245,3240,0,0.00
legacyMembInvtView,ZA,4191,2922,0,0.00
legacyMembInvtView,FR,4177,2537,0,0.00
legacyCustColdView,FR,4161,2772,0,0.00
legacyCustInvtView,FR,4132,2817,0,0.00
legacyDistColdSubmit,MY,3985,2664,0,0.00
legacyDistColdIntent,MY,3973,3000,0,0.00
legacyMembColdComplete,CA,3938,2495,0,0.00
legacyMembColdView,VN,3917,1904,0,0.00
legacyDistInvtIntent,PL,3874,2970,0,0.00
poCustColdComplete,PL,3846,3458,0,0.00
poCustColdComplete,ZA,3834,3473,0,0.00
legacyDistInvtIntent,GB,3826,2968,0,0.00
poCustColdView,CA,3766,2829,0,0.00
legacyDistColdComplete,CL,3762,3506,0,0.00
legacyMembInvtSubmit,CL,3761,2508,0,0.00
legacyDistInvtComplete,US,3737,3714,0,0.00
