Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value
legacyCustColdVerify,CA,386,363,0,0.00
legacyCustInvtVerify,AT,385,318,0,0.00
legacyCustColdComplete,DE,383,339,0,0.00
legacyDistInvtSubmit,NZ,383,203,0,0.00
simpDistColdFindAff,SG,382,271,0,0.00
legacyDistInvtComplete,AU,379,368,0,0.00
legacyCustInvtView,IT,378,237,0,0.00
legacyDistColdSubmit,CH,378,250,0,0.00
legacyDistColdIntent,SE,375,291,0,0.00
legacyMembInvtComplete,DE,375,371,0,0.00
poCustColdComplete,NO,375,326,0,0.00
simpCustColdFindAff,MX,375,257,0,0.00
legacyMembInvtVerify,HU,374,351,0,0.00
legacyCustInvtSubmit,CL,373,276,0,0.00
legacyDistInvtSubmit,NL,373,219,0,0.00
legacyCustColdSubmit,BE,371,183,0,0.00
legacyDistInvtComplete,SK,370,369,0,0.00
legacyDistColdIntent,CH,366,311,0,0.00
legacyMembInvtComplete,HU,365,354,0,0.00
simpDistColdFindAff,TH,364,261,0,0.00
legacyDistInvtIntent,NZ,362,271,0,0.00
legacyDistColdIntent,IT,361,260,0,0.00
legacyDistInvtIntent,NL,361,280,0,0.00
legacyDistInvtSubmit,ID,361,191,0,0.00
simpDistColdIntent,SG,361,304,0,0.00
legacyCustInvtView,MX,359,292,0,0.00
legacyCustInvtView,NO,358,233,0,0.00
legacyDistColdComplete,AR,358,341,0,0.00
legacyCustColdSubmit,SE,357,198,0,0.00
legacyCustInvtView,AR,357,253,0,0.00
legacyDistColdVerify,HU,356,323,0,0.00
legacyDistColdSubmit,SK,355,202,0,0.00
legacyDistInvtComplete,DK,354,333,0,0.00
legacyDistInvtVerify,AU,354,333,0,0.00
legacyDistInvtView,LU,353,202,0,0.00
poCustColdComplete,IE,350,331,0,0.00
legacyDistColdSubmit,IT,349,195,0,0.00
legacyMembColdIntent,CO,346,262,0,0.00
legacyDistInvtComplete,CZ,345,343,0,0.00
legacyDistInvtVerify,DK,344,312,0,0.00
poCustColdComplete,PE,342,324,0,0.00
legacyDistColdView,DK,341,230,0,0.00
legacyDistColdComplete,HU,337,330,0,0.00
legacyDistInvtSubmit,FI,336,159,0,0.00
legacyDistInvtVerify,AR,334,271,0,0.00
simpDistColdIntent,TH,334,286,0,0.00
legacyMembInvtSubmit,AT,333,221,0,0.00
legacyMembInvtIntent,AT,330,279,0,0.00
legacyMembInvtSubmit,FI,327,165,0,0.00
legacyMembInvtView,IE,326,174,0,0.00
legacyCustInvtView,CH,323,226,0,0.00
legacyMembInvtVerify,BE,322,317,0,0.00
legacyCustColdComplete,AT,321,299,0,0.00
legacyCustColdSubmit,SK,320,178,0,0.00
legacyCustColdView,FI,320,180,0,0.00
legacyDistInvtView,IL,320,150,0,0.00
legacyDistInvtIntent,ID,319,237,0,0.00
legacyCustColdVerify,AT,318,289,0,0.00
legacyMembInvtComplete,BE,318,316,0,0.00
legacyDistColdIntent,SK,315,236,0,0.00
legacyCustColdSubmit,NO,311,208,0,0.00
legacyMembInvtComplete,MX,311,264,0,0.00
legacyDistInvtSubmit,HK,309,148,0,0.00
legacyMembInvtVerify,ES,307,296,0,0.00
legacyDistInvtSubmit,IE,304,159,0,0.00
legacyDistColdSubmit,BE,302,170,0,0.00
legacyCustInvtVerify,ES,301,283,0,0.00
simpDistColdNextBttn,TH,299,254,0,0.00
legacyCustInvtView,BE,298,184,0,0.00
legacyMembInvtComplete,ES,295,290,0,0.00
legacyCustInvtComplete,ES,294,281,0,0.00
legacyCustInvtSubmit,CA,293,162,0,0.00
simpDistColdNextBttn,SG,292,254,0,0.00
legacyDistInvtVerify,MX,285,254,0,0.00
legacyMembColdComplete,CO,283,254,0,0.00
legacyCustInvtVerify,CL,282,246,0,0.00
legacyDistInvtComplete,MX,282,278,0,0.00
legacyMembColdSubmit,CO,281,220,0,0.00
legacyMembColdVerify,CO,281,236,0,0.00
legacyDistColdView,IL,280,144,0,0.00
legacyDistColdIntent,NO,279,223,0,0.00
legacyMembInvtIntent,NO,275,231,0,0.00
legacyCustColdView,IL,274,108,0,0.00
legacyDistInvtIntent,HK,274,230,0,0.00
legacyDistColdSubmit,NO,272,185,0,0.00
legacyDistInvtIntent,TH,270,198,0,0.00
legacyDistInvtComplete,BE,268,268,0,0.00
simpCustColdNextBttn,MX,268,232,0,0.00
simpDistInvtError,MY,267,151,0,0.00
poCustColdComplete,NZ,265,239,0,0.00
legacyDistColdSubmit,NL,264,177,0,0.00
legacyDistInvtIntent,IE,263,197,0,0.00
legacyCustColdView,IE,261,130,0,0.00
legacyDistColdView,FI,260,183,0,0.00
legacyMembInvtSubmit,SE,260,136,0,0.00
legacyDistInvtIntent,PT,259,193,0,0.00
legacyDistColdSubmit,AT,258,155,0,0.00
legacyDistInvtVerify,BE,256,252,0,0.00
poCustColdView,SK,254,215,0,0.00
legacyDistInvtComplete,AR,253,252,0,0.00
legacyCustColdComplete,MX,252,249,0,0.00
legacyMembInvtSubmit,NO,252,172,0,0.00
legacyDistColdSubmit,CZ,251,161,0,0.00
simpDistColdFormStart,TH,251,218,0,0.00
legacyDistColdIntent,AT,250,210,0,0.00
legacyDistColdIntent,NL,250,213,0,0.00
poCustColdIntent,CA,250,225,0,0.00
legacyDistInvtVerify,MY,249,201,0,0.00
legacyCustColdVerify,CO,247,183,0,0.00
legacyCustColdVerify,MX,246,229,0,0.00
poCustColdView,AR,246,212,0,0.00
simpCustInvtError,MX,245,91,0,0.00
legacyDistInvtComplete,CH,244,242,0,0.00
legacyDistColdIntent,CZ,242,187,0,0.00
legacyDistInvtSubmit,PT,242,145,0,0.00
legacyDistColdComplete,CH,240,234,0,0.00
legacyCustColdVerify,ES,239,234,0,0.00
legacyCustInvtView,AU,238,159,0,0.00
legacyMembInvtVerify,MX,238,207,0,0.00
simpMembInvtAccept,VN,237,178,0,0.00
legacyDistColdIntent,RU,236,189,0,0.00
simpDistColdFormStart,SG,235,206,0,0.00
legacyDistInvtComplete,NO,234,234,0,0.00
legacyMembInvtSubmit,AU,234,134,0,0.00
legacyCustColdComplete,ES,233,229,0,0.00
legacyDistInvtVerify,NO,233,229,0,0.00
legacyMembInvtVerify,CO,232,194,0,0.00
legacyMembInvtView,NZ,232,140,0,0.00
legacyDistInvtIntent,FI,228,193,0,0.00
legacyCustColdSubmit,HU,227,158,0,0.00
legacyDistColdIntent,BE,227,182,0,0.00
legacyCustInvtComplete,CL,226,218,0,0.00
poCustColdView,FI,226,194,0,0.00
legacyDistInvtVerify,CH,225,222,0,0.00
legacyDistInvtVerify,ID,223,167,0,0.00
legacyMembColdSubmit,AU,223,146,0,0.00
legacyDistColdVerify,CH,221,205,0,0.00
poCustColdView,CZ,221,175,0,0.00
legacyCustColdVerify,ZA,220,218,0,0.00
legacyDistInvtComplete,NL,220,214,0,0.00
legacyCustColdSubmit,CZ,219,121,0,0.00
poCustColdView,LU,219,165,0,0.00
legacyDistColdComplete,SE,218,218,0,0.00
legacyMembInvtIntent,SE,217,173,0,0.00
legacyMembInvtIntent,FI,216,188,0,0.00
legacyDistColdSubmit,RU,213,143,0,0.00
legacyDistInvtVerify,NL,213,203,0,0.00
legacyCustColdSubmit,NL,212,97,0,0.00
legacyCustInvtSubmit,ZA,211,110,0,0.00
legacyDistColdSubmit,PF,208,131,0,0.00
legacyCustColdView,LU,207,132,0,0.00
legacyDistColdIntent,PF,207,143,0,0.00
legacyDistInvtVerify,IT,207,185,0,0.00
legacyDistColdVerify,SE,206,198,0,0.00
legacyCustInvtSubmit,GB,205,101,0,0.00
legacyDistColdVerify,IT,204,151,0,0.00
legacyDistInvtComplete,AT,201,198,0,0.00
legacyMembColdIntent,AU,201,160,0,0.00
legacyCustInvtView,HU,200,136,0,0.00
legacyCustColdSubmit,IT,199,118,0,0.00
legacyCustInvtView,CZ,198,141,0,0.00
legacyMembColdView,DE,197,113,0,0.00
legacyMembInvtVerify,AT,196,186,0,0.00
poCustColdIntent,AU,196,192,0,0.00
legacyDistInvtComplete,IT,194,193,0,0.00
legacyCustColdSubmit,PT,193,132,0,0.00
legacyMembInvtIntent,AU,193,157,0,0.00
legacyDistInvtComplete,MY,192,184,0,0.00
legacyDistInvtSubmit,RU,192,85,0,0.00
legacyDistInvtSubmit,SG,191,82,0,0.00
poCustColdView,DK,190,148,0,0.00
legacyCustColdVerify,AU,189,182,0,0.00
legacyCustColdComplete,AU,188,187,0,0.00
legacyDistColdComplete,NO,186,178,0,0.00
legacyMembColdView,ES,185,127,0,0.00
legacyDistInvtComplete,ID,183,164,0,0.00
legacyMembInvtComplete,CO,183,176,0,0.00
legacyMembInvtSubmit,CH,181,99,0,0.00
legacyCustColdComplete,ZA,180,179,0,0.00
legacyMembInvtSubmit,IT,179,109,0,0.00
progMembInvtComplete,HK,179,156,0,0.00
legacyCustColdSubmit,FI,178,92,0,0.00
legacyDistColdVerify,NO,177,163,0,0.00
legacyDistInvtVerify,AT,177,167,0,0.00
legacyDistColdView,LU,175,118,0,0.00
legacyMembColdView,HU,175,87,0,0.00
legacyMembInvtSubmit,RO,175,96,0,0.00
simpDistColdComplete,TH,171,157,0,0.00
legacyMembInvtComplete,AT,170,166,0,0.00
progCustColdIntent,PE,168,133,0,0.00
legacyMembInvtVerify,NO,167,163,0,0.00
legacyCustColdSubmit,NZ,166,111,0,0.00
legacyDistColdComplete,AT,166,163,0,0.00
legacyMembInvtIntent,IT,166,140,0,0.00
legacyDistColdVerify,NL,165,152,0,0.00
legacyDistInvtVerify,NZ,164,149,0,0.00
legacyCustColdSubmit,DK,163,97,0,0.00
legacyDistColdComplete,NL,163,161,0,0.00
legacyDistColdComplete,IT,162,159,0,0.00
legacyDistInvtComplete,NZ,162,155,0,0.00
poCustColdComplete,FI,162,152,0,0.00
legacyDistColdVerify,CZ,161,124,0,0.00
legacyDistInvtIntent,RU,158,124,0,0.00
legacyCustInvtView,DK,157,109,0,0.00
legacyDistColdVerify,RU,157,131,0,0.00
legacyDistColdSubmit,IE,156,93,0,0.00
legacyDistColdVerify,AT,156,144,0,0.00
legacyDistColdVerify,SK,156,134,0,0.00
legacyDistInvtVerify,TH,156,109,0,0.00
legacyMembInvtComplete,NO,156,153,0,0.00
legacyMembInvtComplete,FI,155,154,0,0.00
legacyMembInvtIntent,CH,153,134,0,0.00
poCustColdView,HK,153,134,0,0.00
legacyCustColdVerify,PL,152,151,0,0.00
legacyMembInvtVerify,FI,152,151,0,0.00
legacyCustColdVerify,AR,151,144,0,0.00
legacyDistInvtComplete,FI,151,150,0,0.00
legacyMembInvtSubmit,NL,150,81,0,0.00
legacyCustColdComplete,CO,149,146,0,0.00
legacyDistColdComplete,BE,149,142,0,0.00
legacyDistColdIntent,IE,147,114,0,0.00
legacyDistInvtIntent,IS,147,121,0,0.00
simpCustColdContactMe,MX,147,147,0,0.00
legacyCustColdSubmit,RU,145,89,0,0.00
legacyDistColdComplete,PF,145,118,0,0.00
legacyDistInvtVerify,HK,145,132,0,0.00
legacyMembColdView,GB,145,98,0,0.00
legacyMembInvtIntent,RO,145,120,0,0.00
legacyMembInvtIntent,NL,144,112,0,0.00
legacyCustColdComplete,PL,143,143,0,0.00
poCustColdComplete,LU,143,123,0,0.00
legacyDistColdView,BN,142,89,0,0.00
legacyMembInvtIntent,LU,142,113,0,0.00
legacyDistColdVerify,PF,141,113,0,0.00
legacyCustColdComplete,AR,140,137,0,0.00
legacyDistInvtComplete,IE,140,136,0,0.00
legacyDistInvtVerify,FI,140,138,0,0.00
legacyMembColdComplete,AU,140,126,0,0.00
legacyMembInvtIntent,VN,140,109,0,0.00
poCustColdView,TH,140,116,0,0.00
progCustColdIntent,TH,140,107,0,0.00
legacyDistColdVerify,BE,139,128,0,0.00
poCustColdComplete,CZ,139,121,0,0.00
legacyMembColdVerify,AU,138,118,0,0.00
poCustColdComplete,SK,138,133,0,0.00
legacyCustInvtComplete,CA,137,128,0,0.00
legacyDistColdComplete,SK,137,131,0,0.00
legacyDistInvtComplete,HK,137,136,0,0.00
legacyDistInvtVerify,PT,137,127,0,0.00
progCustColdComplete,PE,136,134,0,0.00
legacyCustInvtVerify,CA,135,124,0,0.00
legacyCustColdSubmit,IE,134,59,0,0.00
legacyDistInvtVerify,IE,134,128,0,0.00
poCustColdComplete,AR,134,126,0,0.00
simpDistColdComplete,SG,134,128,0,0.00
legacyDistInvtIntent,SG,133,116,0,0.00
legacyDistInvtSubmit,IS,130,89,0,0.00
legacyDistInvtComplete,PT,129,126,0,0.00
legacyMembInvtSubmit,VN,129,77,0,0.00
legacyMembInvtView,PT,127,72,0,0.00
legacyCustColdSubmit,IL,126,39,0,0.00
legacyDistColdComplete,CZ,126,121,0,0.00
legacyMembInvtVerify,SE,126,122,0,0.00
legacyMembInvtSubmit,LU,122,85,0,0.00
legacyCustInvtView,PT,120,80,0,0.00
progDistColdIntent,US,120,111,0,0.00
legacyDistColdComplete,RU,119,118,0,0.00
legacyMembInvtVerify,AU,118,109,0,0.00
legacyCustInvtView,RO,116,58,0,0.00
poCustColdComplete,DK,116,101,0,0.00
legacyMembInvtComplete,AU,114,109,0,0.00
legacyDistInvtIntent,LU,112,90,0,0.00
progCustColdComplete,TH,112,109,0,0.00
legacyMembInvtComplete,SE,111,110,0,0.00
legacyMembInvtSubmit,IE,111,60,0,0.00
legacyMembInvtSubmit,RU,111,72,0,0.00
legacyMembColdView,PF,110,64,0,0.00
legacyMembInvtIntent,RU,110,96,0,0.00
legacyCustInvtSubmit,PL,107,66,0,0.00
legacyDistColdIntent,UA,104,63,0,0.00
legacyDistInvtSubmit,LU,104,70,0,0.00
poCustColdView,IS,103,95,0,0.00
legacyCustInvtView,RU,102,76,0,0.00
legacyMembColdView,IS,102,70,0,0.00
legacyMembInvtIntent,IE,101,75,0,0.00
legacyMembInvtView,UA,101,59,0,0.00
legacyDistColdView,NC,100,58,0,0.00
legacyDistInvtComplete,TH,100,98,0,0.00
legacyDistInvtSubmit,UA,100,52,0,0.00
legacyDistInvtIntent,UA,99,78,0,0.00
legacyMembInvtVerify,IT,99,98,0,0.00
legacyCustInvtView,NZ,98,69,0,0.00
simpDistInvtLanding,PH,98,60,0,0.00
legacyCustInvtView,LU,97,73,0,0.00
legacyDistColdView,IS,97,64,0,0.00
legacyDistInvtSubmit,IL,97,33,0,0.00
legacyMembInvtComplete,IT,96,96,0,0.00
legacyCustInvtSubmit,CO,95,49,0,0.00
legacyDistInvtComplete,IS,95,91,0,0.00
legacyDistColdSubmit,UA,93,36,0,0.00
legacyCustColdVerify,SK,92,92,0,0.00
legacyCustInvtVerify,GB,92,92,0,0.00
legacyCustColdSubmit,LU,91,60,0,0.00
legacyMembInvtComplete,CH,91,89,0,0.00
legacyMembInvtVerify,CH,91,89,0,0.00
poCustColdView,IL,91,75,0,0.00
legacyCustInvtSubmit,CH,90,57,0,0.00
legacyCustInvtView,SK,90,58,0,0.00
progDistColdComplete,US,90,88,0,0.00
legacyCustColdComplete,SK,89,89,0,0.00
legacyCustColdVerify,CH,89,82,0,0.00
legacyCustInvtVerify,ZA,89,88,0,0.00
legacyDistInvtVerify,IS,89,83,0,0.00
legacyMembColdView,NZ,89,57,0,0.00
legacyCustInvtSubmit,BE,88,56,0,0.00
legacyMembInvtVerify,LU,88,84,0,0.00
legacyMembInvtVerify,VN,88,70,0,0.00
legacyMembInvtVerify,RO,87,79,0,0.00
legacyCustColdComplete,CH,86,81,0,0.00
legacyMembColdSubmit,ZA,86,54,0,0.00
legacyCustColdVerify,NO,85,85,0,0.00
legacyCustColdView,PF,85,60,0,0.00
legacyMembInvtSubmit,NZ,85,44,0,0.00
legacyCustColdComplete,NO,84,84,0,0.00
legacyDistColdComplete,IE,84,84,0,0.00
legacyMembInvtView,IL,84,36,0,0.00
legacyCustColdVerify,RO,83,80,0,0.00
legacyMembColdIntent,ZA,83,71,0,0.00
simpDistInvtError,TH,83,40,0,0.00
legacyCustInvtSubmit,SE,82,52,0,0.00
legacyMembInvtVerify,RU,82,75,0,0.00
legacyCustInvtSubmit,NO,81,63,0,0.00
legacyMembInvtComplete,VN,81,74,0,0.00
legacyMembInvtVerify,NL,81,74,0,0.00
poCustColdComplete,HK,81,79,0,0.00
progCustInvtView,TH,81,66,0,0.00
legacyMembInvtComplete,NL,80,75,0,0.00
legacyCustInvtComplete,GB,79,79,0,0.00
legacyDistColdVerify,IE,79,76,0,0.00
legacyCustInvtComplete,ZA,78,75,0,0.00
legacyMembInvtComplete,LU,77,75,0,0.00
simpDistInvtAccept,PH,77,48,0,0.00
legacyMembInvtView,IS,75,35,0,0.00
legacyDistColdView,VN,74,51,0,0.00
legacyMembInvtComplete,RU,74,73,0,0.00
poCustColdComplete,IS,74,72,0,0.00
legacyCustColdComplete,RO,73,73,0,0.00
legacyCustColdVerify,CZ,72,55,0,0.00
legacyCustInvtSubmit,IT,72,47,0,0.00
poCustColdComplete,TH,72,67,0,0.00
progCustColdView,US,72,59,0,0.00
legacyCustColdView,UA,71,48,0,0.00
legacyMembInvtComplete,RO,71,70,0,0.00
legacyCustColdComplete,IT,70,65,0,0.00
legacyCustColdVerify,HU,69,69,0,0.00
legacyDistColdSubmit,DK,69,42,0,0.00
legacyCustInvtView,IL,68,37,0,0.00
legacyDistInvtComplete,LU,66,65,0,0.00
legacyMembInvtIntent,NZ,66,50,0,0.00
legacyDistColdSubmit,FI,64,37,0,0.00
legacyDistColdSubmit,IL,64,29,0,0.00
legacyCustInvtSubmit,AU,63,44,0,0.00
legacyDistInvtVerify,SG,63,51,0,0.00
legacyCustColdComplete,HU,62,62,0,0.00
legacyCustColdVerify,IT,62,59,0,0.00
legacyCustInvtVerify,NO,61,61,0,0.00
legacyDistColdIntent,DK,61,51,0,0.00
legacyCustColdVerify,NZ,60,52,0,0.00
legacyCustInvtVerify,CH,60,57,0,0.00
poCustColdComplete,IL,60,56,0,0.00
legacyDistInvtComplete,RU,59,59,0,0.00
legacyCustColdComplete,BE,58,57,0,0.00
legacyDistInvtVerify,LU,58,57,0,0.00
legacyMembColdView,CZ,58,31,0,0.00
legacyMembInvtVerify,IE,58,57,0,0.00
progCustInvtComplete,PE,58,57,0,0.00
legacyCustColdView,IS,57,42,0,0.00
legacyDistInvtVerify,RU,57,55,0,0.00
legacyCustColdComplete,NZ,56,49,0,0.00
legacyCustColdComplete,SE,56,56,0,0.00
legacyCustColdVerify,SE,56,56,0,0.00
legacyCustInvtComplete,CH,56,53,0,0.00
legacyCustInvtView,FI,56,40,0,0.00
legacyDistInvtIntent,IL,56,43,0,0.00
legacyDistColdIntent,FI,55,49,0,0.00
simpDistColdView,BN,54,34,0,0.00
legacyCustColdVerify,BE,53,51,0,0.00
legacyCustInvtVerify,PL,53,53,0,0.00
legacyMembInvtComplete,IE,53,52,0,0.00
legacyDistColdIntent,BN,52,43,0,0.00
legacyCustInvtVerify,BE,51,49,0,0.00
legacyDistInvtComplete,SG,51,51,0,0.00
legacyCustInvtVerify,SE,50,49,0,0.00
legacyDistColdSubmit,BN,50,36,0,0.00
legacyCustInvtComplete,NO,49,49,0,0.00
legacyCustInvtComplete,PL,49,49,0,0.00
legacyMembColdVerify,ZA,49,46,0,0.00
legacyCustColdComplete,CZ,48,48,0,0.00
legacyCustInvtSubmit,HU,47,42,0,0.00
legacyCustInvtComplete,BE,46,46,0,0.00
legacyCustInvtSubmit,AR,46,32,0,0.00
legacyDistColdSubmit,NC,45,32,0,0.00
legacyCustInvtView,NL,44,28,0,0.00
poCustColdView,RU,44,32,0,0.00
legacyCustInvtVerify,CO,43,34,0,0.00
simpDistInvtError,SG,43,28,0,0.00
legacyDistColdIntent,NC,42,29,0,0.00
legacyDistColdVerify,BN,42,34,0,0.00
legacyDistColdVerify,UA,41,25,0,0.00
legacyMembColdView,RO,41,22,0,0.00
legacyMembColdComplete,ZA,40,40,0,0.00
legacyCustInvtComplete,SE,39,38,0,0.00
legacyDistInvtVerify,UA,39,33,0,0.00
legacyMembColdIntent,HU,39,28,0,0.00
legacyDistColdComplete,FI,38,37,0,0.00
legacyDistColdIntent,IL,38,29,0,0.00
legacyDistColdSubmit,LU,38,26,0,0.00
legacyMembColdView,PL,38,32,0,0.00
poCustColdView,UA,38,30,0,0.00
legacyDistColdIntent,LU,37,26,0,0.00
legacyMembInvtSubmit,PT,37,19,0,0.00
legacyMembInvtVerify,NZ,37,33,0,0.00
legacyCustInvtVerify,HU,36,36,0,0.00
legacyDistColdVerify,FI,36,35,0,0.00
legacyDistInvtComplete,UA,36,36,0,0.00
legacyCustInvtVerify,AU,35,34,0,0.00
legacyDistColdIntent,IS,35,31,0,0.00
legacyMembColdSubmit,HU,35,22,0,0.00
legacyCustInvtComplete,AU,34,34,0,0.00
legacyCustInvtComplete,HU,34,34,0,0.00
legacyCustInvtComplete,IT,34,34,0,0.00
legacyCustInvtSubmit,CZ,34,19,0,0.00
legacyDistColdComplete,BN,34,32,0,0.00
legacyDistColdComplete,NC,34,30,0,0.00
legacyMembColdIntent,DE,34,24,0,0.00
legacyMembInvtComplete,NZ,34,32,0,0.00
legacyCustInvtSubmit,MX,33,26,0,0.00
legacyDistColdVerify,NC,33,28,0,0.00
legacyMembInvtSubmit,IL,33,17,0,0.00
legacyCustColdVerify,PT,32,31,0,0.00
legacyCustInvtComplete,CO,32,32,0,0.00
legacyCustInvtSubmit,DK,32,24,0,0.00
legacyCustInvtVerify,IT,32,31,0,0.00
legacyCustColdComplete,RU,31,31,0,0.00
legacyCustColdVerify,RU,31,31,0,0.00
legacyDistInvtView,PF,31,21,0,0.00
legacyMembColdView,NC,31,11,0,0.00
simpDistColdFindAff,BN,31,16,0,0.00
legacyCustColdComplete,PT,30,29,0,0.00
legacyCustInvtSubmit,PT,30,19,0,0.00
legacyDistColdComplete,UA,30,28,0,0.00
legacyDistInvtVerify,IL,30,25,0,0.00
legacyMembInvtIntent,PT,30,25,0,0.00
legacyCustColdVerify,NL,29,29,0,0.00
progCustColdIntent,US,29,21,0,0.00
legacyCustColdVerify,IE,28,26,0,0.00
legacyDistColdVerify,DK,28,26,0,0.00
legacyMembInvtIntent,UA,28,23,0,0.00
simpDistColdIntent,BN,28,19,0,0.00
simpMembInvtView,VN,28,14,0,0.00
legacyCustColdComplete,NL,27,27,0,0.00
legacyCustInvtSubmit,RO,27,13,0,0.00
legacyCustInvtSubmit,IL,26,9,0,0.00
legacyCustInvtVerify,AR,26,26,0,0.00
legacyDistColdComplete,IS,26,26,0,0.00
legacyMembColdSubmit,DE,26,15,0,0.00
legacyMembColdView,NL,26,16,0,0.00
poCustColdIntent,NZ,26,26,0,0.00
legacyCustInvtSubmit,NZ,25,16,0,0.00
legacyDistColdComplete,DK,25,25,0,0.00
legacyDistColdVerify,IS,25,24,0,0.00
legacyCustColdSubmit,PF,24,19,0,0.00
legacyCustColdView,NC,24,18,0,0.00
legacyCustInvtComplete,AR,24,24,0,0.00
legacyCustInvtVerify,DK,24,24,0,0.00
legacyDistColdSubmit,IS,24,19,0,0.00
legacyMembColdIntent,NZ,24,21,0,0.00
legacyMembColdSubmit,NZ,24,20,0,0.00
legacyCustColdComplete,FI,23,23,0,0.00
legacyCustInvtComplete,MX,23,23,0,0.00
legacyDistColdComplete,LU,23,22,0,0.00
legacyDistColdVerify,LU,23,20,0,0.00
simpDistColdNextBttn,BN,23,16,0,0.00
legacyCustColdVerify,FI,22,22,0,0.00
legacyDistInvtComplete,IL,22,22,0,0.00
legacyCustColdComplete,IE,21,21,0,0.00
legacyCustColdVerify,DK,21,21,0,0.00
legacyCustInvtSubmit,FI,21,10,0,0.00
legacyCustInvtView,IE,21,16,0,0.00
poCustColdComplete,UA,21,19,0,0.00
simpDistInvtView,MX,21,15,0,0.00
legacyCustInvtComplete,DK,20,20,0,0.00
legacyCustInvtComplete,PT,20,18,0,0.00
legacyCustInvtVerify,MX,20,20,0,0.00
legacyDistColdVerify,IL,20,14,0,0.00
legacyMembColdSubmit,ES,20,10,0,0.00
legacyMembInvtIntent,IS,20,16,0,0.00
legacyMembInvtSubmit,IS,20,15,0,0.00
legacyMembInvtView,PF,20,14,0,0.00
poCustColdComplete,RU,20,20,0,0.00
legacyCustColdComplete,DK,19,19,0,0.00
legacyCustColdSubmit,IS,19,14,0,0.00
legacyCustInvtVerify,CZ,19,15,0,0.00
legacyMembColdIntent,GB,19,17,0,0.00
legacyCustInvtVerify,PT,18,17,0,0.00
legacyMembColdSubmit,PF,18,9,0,0.00
legacyMembColdView,FR,18,8,0,0.00
legacyMembInvtIntent,IL,18,15,0,0.00
poCustColdView,SG,18,16,0,0.00
legacyCustColdSubmit,UA,17,11,0,0.00
legacyMembColdSubmit,GB,17,12,0,0.00
legacyMembInvtComplete,PT,17,17,0,0.00
simpDistColdFormStart,BN,17,12,0,0.00
legacyDistInvtView,NC,16,4,0,0.00
legacyMembColdComplete,NZ,16,16,0,0.00
legacyMembInvtVerify,PT,16,16,0,0.00
legacyMembInvtView,NC,16,12,0,0.00
poCustColdView,NC,16,13,0,0.00
legacyCustColdVerify,LU,15,13,0,0.00
legacyCustInvtComplete,CZ,15,15,0,0.00
legacyCustInvtSubmit,LU,15,11,0,0.00
legacyMembInvtComplete,UA,15,14,0,0.00
simpMembInvtIntent,VN,15,11,0,0.00
legacyCustInvtView,IS,14,7,0,0.00
legacyMembColdVerify,HU,14,11,0,0.00
legacyMembColdVerify,NZ,14,14,0,0.00
legacyMembColdView,IT,14,8,0,0.00
legacyMembInvtIntent,PF,14,10,0,0.00
legacyCustColdComplete,LU,13,13,0,0.00
legacyCustInvtSubmit,RU,13,7,0,0.00
legacyCustInvtSubmit,SK,13,9,0,0.00
legacyCustInvtView,UA,13,9,0,0.00
legacyDistInvtView,BN,13,9,0,0.00
legacyMembColdComplete,HU,13,11,0,0.00
legacyMembColdIntent,CZ,13,9,0,0.00
legacyMembColdIntent,IS,13,11,0,0.00
legacyMembInvtSubmit,UA,13,10,0,0.00
legacyMembInvtVerify,IL,13,9,0,0.00
simpDistInvtIntent,MX,13,10,0,0.00
simpMembInvtSubmit,VN,13,9,0,0.00
legacyDistColdSubmit,VN,12,6,0,0.00
legacyMembColdSubmit,CZ,12,6,0,0.00
legacyMembInvtVerify,IS,12,12,0,0.00
simpDistColdView,CA,12,2,0,0.00
legacyCustInvtVerify,RO,11,11,0,0.00
legacyMembColdIntent,PF,11,9,0,0.00
legacyMembColdVerify,DE,11,9,0,0.00
legacyMembColdView,SE,11,9,0,0.00
legacyMembInvtVerify,UA,11,11,0,0.00
poCustColdComplete,SG,11,11,0,0.00
simpCustColdView,US,11,5,0,0.00
legacyCustInvtComplete,NZ,10,10,0,0.00
legacyCustInvtComplete,RO,10,10,0,0.00
legacyDistColdComplete,IL,10,10,0,0.00
legacyDistColdVerify,VN,10,5,0,0.00
legacyMembColdIntent,ES,10,10,0,0.00
poCustColdComplete,NC,10,8,0,0.00
simpDistInvtView,PH,10,7,0,0.00
legacyCustColdComplete,PF,9,9,0,0.00
legacyCustColdVerify,IL,9,9,0,0.00
legacyCustColdVerify,PF,9,9,0,0.00
legacyCustInvtComplete,FI,9,9,0,0.00
legacyCustInvtVerify,FI,9,9,0,0.00
legacyCustInvtVerify,LU,9,9,0,0.00
legacyCustInvtView,PF,9,7,0,0.00
legacyMembColdSubmit,NC,9,3,0,0.00
legacyMembColdVerify,CZ,9,5,0,0.00
legacyMembColdVerify,GB,9,9,0,0.00
simpDistColdComplete,BN,9,7,0,0.00
legacyCustColdComplete,IL,8,8,0,0.00
legacyCustInvtVerify,NZ,8,8,0,0.00
legacyMembColdComplete,DE,8,7,0,0.00
legacyMembInvtComplete,IS,8,8,0,0.00
progCustInvtComplete,TH,8,7,0,0.00
progMembInvtRegClick,PE,8,7,0,0.00
legacyCustColdSubmit,NC,7,7,0,0.00
