,Event Action,Country Code (URL),Total Events,Unique Events,Event Value,Avg. Value,new
721,legacyCustInvtView,CZ,198,141,0,0.0,True
992,legacyCustInvtSubmit,CZ,34,19,0,0.0,True
1063,legacyCustInvtVerify,CZ,19,15,0,0.0,True
1080,legacyCustInvtComplete,CZ,15,15,0,0.0,True
160,legacyMembInvtView,CZ,2856,1748,0,0.0,True
392,legacyMembInvtIntent,CZ,814,688,0,0.0,True
391,legacyMembInvtSubmit,CZ,815,545,0,0.0,True
462,legacyMembInvtVerify,CZ,584,504,0,0.0,True
499,legacyMembInvtComplete,CZ,486,464,0,0.0,True
698,poCustColdView,CZ,221,175,0,0.0,True
803,poCustColdComplete,CZ,139,121,0,0.0,True
1236,Customer,CZ,1,1,0,0.0,False
101,legacyDistColdView,DE,4529,2696,0,0.0,True
342,legacyDistColdIntent,DE,1007,790,0,0.0,True
319,legacyDistColdSubmit,DE,1106,640,0,0.0,True
434,legacyDistColdVerify,DE,662,498,0,0.0,True
465,legacyDistColdComplete,DE,574,550,0,0.0,True
135,legacyCustColdView,DE,3399,2020,0,0.0,True
301,legacyCustColdSubmit,DE,1219,770,0,0.0,True
526,legacyCustColdVerify,DE,429,364,0,0.0,True
563,legacyCustColdComplete,DE,383,339,0,0.0,True
722,legacyMembColdView,DE,197,113,0,0.0,True
995,legacyMembColdIntent,DE,34,24,0,0.0,True
1026,legacyMembColdSubmit,DE,26,15,0,0.0,True
1107,legacyMembColdVerify,DE,11,9,0,0.0,True
1132,legacyMembColdComplete,DE,8,7,0,0.0,True
74,legacyDistInvtView,DE,5827,2938,0,0.0,True
262,legacyDistInvtIntent,DE,1608,1200,0,0.0,True
260,legacyDistInvtSubmit,DE,1634,865,0,0.0,True
387,legacyDistInvtVerify,DE,826,692,0,0.0,True
406,legacyDistInvtComplete,DE,746,729,0,0.0,True
198,legacyCustInvtView,DE,2294,1437,0,0.0,True
427,legacyCustInvtSubmit,DE,674,453,0,0.0,True
504,legacyCustInvtVerify,DE,475,436,0,0.0,True
527,legacyCustInvtComplete,DE,426,393,0,0.0,True
168,legacyMembInvtView,DE,2761,1585,0,0.0,True
403,legacyMembInvtIntent,DE,761,635,0,0.0,True
405,legacyMembInvtSubmit,DE,752,456,0,0.0,True
546,legacyMembInvtVerify,DE,407,398,0,0.0,True
570,legacyMembInvtComplete,DE,375,371,0,0.0,True
45,poCustColdView,DE,8179,6579,0,0.0,True
89,poCustColdComplete,DE,5003,4789,0,0.0,True
602,legacyDistColdView,DK,341,230,0,0.0,True
927,legacyDistColdIntent,DK,61,51,0,0.0,True
916,legacyDistColdSubmit,DK,69,42,0,0.0,True
1017,legacyDistColdVerify,DK,28,26,0,0.0,True
1030,legacyDistColdComplete,DK,25,25,0,0.0,True
530,legacyCustColdView,DK,419,234,0,0.0,True
757,legacyCustColdSubmit,DK,163,97,0,0.0,True
1047,legacyCustColdVerify,DK,21,21,0,0.0,True
1061,legacyCustColdComplete,DK,19,19,0,0.0,True
245,legacyDistInvtView,DK,1699,951,0,0.0,True
453,legacyDistInvtIntent,DK,617,476,0,0.0,True
472,legacyDistInvtSubmit,DK,551,347,0,0.0,True
600,legacyDistInvtVerify,DK,344,312,0,0.0,True
593,legacyDistInvtComplete,DK,354,333,0,0.0,True
764,legacyCustInvtView,DK,157,109,0,0.0,True
1002,legacyCustInvtSubmit,DK,32,24,0,0.0,True
1035,legacyCustInvtVerify,DK,24,24,0,0.0,True
1052,legacyCustInvtComplete,DK,20,20,0,0.0,True
156,legacyMembInvtView,DK,2905,1705,0,0.0,True
313,legacyMembInvtIntent,DK,1134,934,0,0.0,True
348,legacyMembInvtSubmit,DK,977,663,0,0.0,True
407,legacyMembInvtVerify,DK,745,687,0,0.0,True
429,legacyMembInvtComplete,DK,670,625,0,0.0,True
731,poCustColdView,DK,190,148,0,0.0,True
830,poCustColdComplete,DK,116,101,0,0.0,True
131,legacyDistColdView,ES,3577,2259,0,0.0,True
385,legacyDistColdIntent,ES,830,704,0,0.0,True
357,legacyDistColdSubmit,ES,932,615,0,0.0,True
464,legacyDistColdVerify,ES,577,500,0,0.0,True
478,legacyDistColdComplete,ES,531,511,0,0.0,True
167,legacyCustColdView,ES,2765,1787,0,0.0,True
335,legacyCustColdSubmit,ES,1030,727,0,0.0,True
677,legacyCustColdVerify,ES,239,234,0,0.0,True
685,legacyCustColdComplete,ES,233,229,0,0.0,True
735,legacyMembColdView,ES,185,127,0,0.0,True
