,Country,Missing
29,NO,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
30,NZ,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
31,PE,"{'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'legacyDistColdVerify', 'legacyDistInvtComplete', 'legacyCustColdView', 'legacyMembInvtVerify', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'legacyCustInvtSubmit', 'simpDistInvtAccept', 'simpDistColdFindAff', 'legacyMembColdComplete', 'legacyMembColdView', 'legacyDistInvtView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'legacyMembInvtView', 'simpMembInvtLanding', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'legacyCustColdVerify', 'simpCustInvtComplete', 'simpMembColdFindAff', 'legacyMembInvtSubmit', 'simpDistInvtIntent', 'legacyDistColdComplete', 'simpMembColdComplete', 'simpCustColdFormStart', 'legacyCustColdSubmit', 'simpDistInvtError', 'legacyDistColdSubmit', 'legacyDistInvtIntent', 'legacyDistColdIntent', 'simpMembColdView', 'legacyDistInvtSubmit', 'simpCustColdContactMe', 'simpDistColdComplete', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'legacyCustInvtView', 'legacyCustInvtComplete', 'simpDistColdNextBttn', 'simpCustColdComplete', 'simpMembInvtSubmit', 'legacyDistInvtVerify', 'simpMembColdNextBttn', 'progMembColdView', 'legacyDistColdView', 'progMembColdComplete'}"
32,PF,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'legacyCustInvtComplete', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
33,PH,"{'progDistColdView', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'legacyCustColdView', 'legacyMembInvtVerify', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpMembColdIntent', 'legacyCustInvtSubmit', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'legacyCustColdVerify', 'simpCustInvtComplete', 'poCustColdView', 'simpMembColdFindAff', 'legacyMembInvtSubmit', 'simpMembColdComplete', 'simpCustColdFormStart', 'legacyCustColdSubmit', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpMembColdFormStart', 'legacyCustInvtView', 'legacyCustInvtComplete', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
34,PL,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
35,PT,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
36,RO,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
37,RU,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
38,SE,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
39,SG,"{'progDistColdView', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'legacyCustColdView', 'legacyMembInvtVerify', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpMembColdIntent', 'legacyCustInvtSubmit', 'simpDistInvtAccept', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'legacyMembInvtView', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'legacyCustColdVerify', 'simpCustInvtComplete', 'simpMembColdFindAff', 'legacyMembInvtSubmit', 'simpMembColdComplete', 'simpCustColdFormStart', 'legacyCustColdSubmit', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpMembColdFormStart', 'legacyCustInvtView', 'legacyCustInvtComplete', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
40,SK,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
41,TH,"{'progDistColdView', 'simpMembInvtError', 'simpCustColdNextBttn', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'legacyMembInvtIntent', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'legacyCustColdView', 'legacyMembInvtVerify', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'legacyCustInvtSubmit', 'simpDistInvtAccept', 'progMembInvtView', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'legacyMembInvtView', 'simpMembInvtLanding', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'legacyCustColdVerify', 'simpCustInvtComplete', 'simpMembColdFindAff', 'legacyMembInvtSubmit', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'legacyCustColdSubmit', 'simpMembColdView', 'simpCustColdContactMe', 'legacyMembInvtComplete', 'legacyCustColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpMembColdFormStart', 'legacyCustInvtView', 'legacyCustInvtComplete', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
42,UA,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'legacyMembColdIntent', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'legacyMembColdSubmit', 'simpDistInvtView', 'simpMembColdIntent', 'legacyCustInvtSubmit', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyMembColdComplete', 'legacyMembColdView', 'poCustColdIntent', 'legacyMembColdVerify', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
43,US,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'progMembInvtIntent', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpCustInvtError', 'simpMembInvtComplete', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'progMembInvtView', 'simpDistColdFindAff', 'simpMembInvtLanding', 'progCustInvtView', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdComplete', 'simpDistInvtError', 'progCustInvtComplete', 'simpCustColdContactMe', 'simpMembInvtAccept', 'simpDistColdNextBttn', 'simpCustColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'progMembColdView', 'progMembColdComplete'}"
44,VN,"{'progDistColdView', 'simpDistColdIntent', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'progMembColdIntent', 'legacyCustInvtVerify', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'progCustColdView', 'simpCustInvtSubmit', 'legacyDistInvtComplete', 'progDistInvtView', 'legacyCustColdView', 'simpCustColdIntent', 'simpDistInvtView', 'legacyCustInvtSubmit', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'legacyDistInvtView', 'poCustColdIntent', 'simpCustInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'legacyCustColdVerify', 'simpCustInvtComplete', 'poCustColdView', 'simpDistInvtIntent', 'legacyDistColdComplete', 'simpCustColdFormStart', 'legacyCustColdSubmit', 'simpDistInvtError', 'progCustInvtComplete', 'legacyDistInvtIntent', 'legacyDistInvtSubmit', 'simpCustColdContactMe', 'simpDistColdComplete', 'legacyCustColdComplete', 'simpCustColdFindAff', 'simpDistColdView', 'legacyCustInvtView', 'legacyCustInvtComplete', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'poCustColdComplete', 'legacyDistInvtVerify', 'progDistInvtComplete', 'progMembColdView', 'progMembColdComplete'}"
45,ZA,"{'progDistColdView', 'simpDistColdIntent', 'simpMembInvtError', 'simpCustColdNextBttn', 'progCustColdIntent', 'simpCustInvtAccept', 'progMembInvtIntent', 'simpCustInvtView', 'progCustColdComplete', 'progMembInvtComplete', 'simpMembInvtIntent', 'progMembColdIntent', 'simpDistInvtComplete', 'simpDistColdFormStart', 'simpDistInvtLanding', 'simpCustInvtError', 'simpCustColdView', 'simpMembInvtComplete', 'progCustColdView', 'simpCustInvtSubmit', 'progDistInvtView', 'simpMembInvtView', 'simpCustColdIntent', 'simpDistInvtView', 'simpMembColdIntent', 'simpDistInvtAccept', 'progMembInvtView', 'simpDistColdFindAff', 'poCustColdIntent', 'simpCustInvtLanding', 'simpMembInvtLanding', 'progCustInvtView', 'simpCustInvtIntent', 'simpDistInvtSubmit', 'simpCustInvtComplete', 'simpMembColdFindAff', 'simpDistInvtIntent', 'simpMembColdComplete', 'simpCustColdFormStart', 'simpDistInvtError', 'progCustInvtComplete', 'simpMembColdView', 'simpCustColdContactMe', 'simpDistColdComplete', 'simpMembInvtAccept', 'simpCustColdFindAff', 'simpDistColdView', 'simpMembColdFormStart', 'simpDistColdNextBttn', 'progDistColdIntent', 'simpCustColdComplete', 'progDistColdComplete', 'simpMembInvtSubmit', 'progDistInvtComplete', 'simpMembColdNextBttn', 'progMembColdView', 'progMembColdComplete'}"
